,amenity,name,name:en,name:ne,website,latitude,longitude,id,emergency,healthcare,opening_hours,addr:city,addr:street,operator,phone,religion,addr:country,addr:postcode,addr:state,contact:email,description,fax,toilets:wheelchair,wheelchair,email,building_count,capacity:beds,facility:icu,facility:operating_theatre,facility:ventilator,facility:x-ray,opd:patients:count,operator:type,personnel:count,source,management_type,internet_access,addr:housenumber,name:ko,healthcare:speciality,mobile,location
0,hospital,मनमोहन मेमोरियल अस्पताल,Manmohan Memorial Hospital,मनमोहन मेमोरियल अस्पताल,http://www.mmchospital.org.np,27.7179394,85.3112441,943246318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hospital,सैनिक अस्पताल,Military Hospital,सैनिक अस्पताल,,27.7114391,85.2913209,1497172311,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,hospital,ग्लोबल अस्पताल,Global hospital,ग्लोबल अस्पताल,,27.6670720,85.3330204,1787063191,,hospital,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,hospital,धन्वन्तरी आयुर्वेद अस्पताल तथा अनुसन्धान केन्द्र,Dhanwantari Aryuved Hospital & Research Centre,धन्वन्तरी आयुर्वेद अस्पताल तथा अनुसन्धान केन्द्र,,27.7324263,85.3443527,1891343745,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,hospital,आरोग्य आश्रम,Aarogya Aashram,आरोग्य आश्रम,,27.7177828,85.3304899,1898593305,,,,Kathmandu,Thirbam Sadak,Dr. Pramod Kumar Gautam,014412075,hindu,,,,,,,,,,,,,,,,,,,,,,,,,,
5,hospital,CIWEC Hospital,,,https://www.ciwec-clinic.com/,27.7202714,85.3178811,1985458243,,hospital,,"Lainchaur, Kathmandu",British-Indian Embassy Rd,,"977-1-4424111, 4435232",,NP,00977,Central Region,ciwecclinic@mail.com.np,"Emergency and Ambulance services available along with a variety of other services. 24 hrs/day, 7 days/week.",977-1-4412590,,,,,,,,,,,,,,,,,,,,
6,hospital,चिरायु राष्ट्रिय अस्पताल तथा चिकित्सा संस्थान,Chirayu National Hospital & Medical Institute,चिरायु राष्ट्रिय अस्पताल तथा चिकित्सा संस्थान,,27.6922104,85.3301616,2027886569,yes,,,,,,,,,,,,,,no,limited,,,,,,,,,,,,,,,,,,
7,hospital,इन्फेरलिटी सेन्टर,Infertility Center,इन्फेरलिटी सेन्टर,,27.6903846,85.3290200,2027895182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,hospital,सुब्बा मेडिकल सेन्टर प्रा. लि,Subba Medical Centre Pvt ltd,सुब्बा मेडिकल सेन्टर प्रा. लि,,27.7378197,85.3230411,2077258831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,hospital,कुन्फेन तिब्बती चिकित्सा,Kunphen Tibetian Medicine,कुन्फेन तिब्बती चिकित्सा,,27.7130650,85.3092366,2121884151,no,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,hospital,यती अस्पताल,Yeti Hospital,यती अस्पताल,,27.7024512,85.2824017,2122386462,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,hospital,सार्वजनिक अस्पताल,Public Hospital,सार्वजनिक अस्पताल,,27.6656582,85.3054073,2164877858,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,hospital,नेपाल पशु अस्पताल,Nepal Veterinary Hospital,नेपाल पशु अस्पताल,,27.6948215,85.3112844,2165424701,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,hospital,ब्लु क्रस अस्पताल,Blue Cross Hospital,ब्लु क्रस अस्पताल,http://www.bluecross.com.np,27.6937147,85.3152583,2165424708,,,,,,,014262027,,,,,,,,no,yes,care@bluecross.com.np,,,,,,,,,,,,,,,,,
14,hospital,,,,,27.6913755,85.2985867,2176750961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,hospital,दिव्या संजीवनी अस्पताल,Divya Sanjivani Hospital,दिव्या संजीवनी अस्पताल,,27.7066149,85.2867623,2218658273,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,hospital,भारोसा अस्पताल,Bharosa Hospital,भारोसा अस्पताल,,27.6943238,85.3370557,2236622338,,hospital,,Kathmandu,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,hospital,नेपाल डायग्नोस्टिक सेन्टर प्रा. लि.,Nepal Diagnostic Center Pvt. Ltd.,नेपाल डायग्नोस्टिक सेन्टर प्रा. लि.,,27.7010578,85.3116341,2282086109,,,,,,,,,,,,,,,,,,1,0,no,no,yes,yes,10,private,13,OpenDRI survey,,,,,,,
18,hospital,Buddha Minimal Access International (MAI) Center,,,,27.6980033,85.3042130,2352666875,,,,,Guna Kam Dev Marga,,,,,,,,,,,,,1,0,no,no,no,no,15,private,10,OpenDRI survey,,,,,,,
19,hospital,नेपाल प्रहरी अस्पताल,Nepal Police Hospital,नेपाल प्रहरी अस्पताल,,27.7310242,85.3235715,2425005466,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,government,,,,,,
20,hospital,,,,,27.7297316,85.3810864,2476338392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,hospital,मोबाइल पशु चिकित्सा अस्पताल,Mobile Veterinary Hospital,मोबाइल पशु चिकित्सा अस्पताल,,27.6737417,85.3117739,2684770935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
